student,question,topic,type,score
S1,Q19,linux,pre,3
S1,Q20,Rprogramming,pre,1
S1,Q21,expertise,pre,1
S1,Q22,collaborating,pre,3
S1,Q23,writing_sci_paper,pre,4
S1,Q24,reading_sci_paper,pre,4
S2,Q19,linux,pre,4
S2,Q20,Rprogramming,pre,2
S2,Q21,expertise,pre,2
S2,Q22,collaborating,pre,4
S2,Q23,writing_sci_paper,pre,5
S2,Q24,reading_sci_paper,pre,4
S3,Q19,linux,pre,5
S3,Q20,Rprogramming,pre,3
S3,Q21,expertise,pre,4
S3,Q22,collaborating,pre,5
S3,Q23,writing_sci_paper,pre,5
S3,Q24,reading_sci_paper,pre,5
S4,Q19,linux,pre,3
S4,Q20,Rprogramming,pre,3
S4,Q21,expertise,pre,2
S4,Q22,collaborating,pre,4
S4,Q23,writing_sci_paper,pre,3
S4,Q24,reading_sci_paper,pre,2
S5,Q19,linux,pre,4
S5,Q20,Rprogramming,pre,1
S5,Q21,expertise,pre,1
S5,Q22,collaborating,pre,3
S5,Q23,writing_sci_paper,pre,5
S5,Q24,reading_sci_paper,pre,4
S6,Q19,linux,pre,3
S6,Q20,Rprogramming,pre,3
S6,Q21,expertise,pre,2
S6,Q22,collaborating,pre,2
S6,Q23,writing_sci_paper,pre,4
S6,Q24,reading_sci_paper,pre,4
S7,Q19,linux,pre,5
S7,Q20,Rprogramming,pre,5
S7,Q21,expertise,pre,4
S7,Q22,collaborating,pre,4
S7,Q23,writing_sci_paper,pre,5
S7,Q24,reading_sci_paper,pre,3
S8,Q19,linux,pre,3
S8,Q20,Rprogramming,pre,2
S8,Q21,expertise,pre,2
S8,Q22,collaborating,pre,4
S8,Q23,writing_sci_paper,pre,4
S8,Q24,reading_sci_paper,pre,3
S9,Q19,linux,pre,4
S9,Q20,Rprogramming,pre,2
S9,Q21,expertise,pre,2
S9,Q22,collaborating,pre,5
S9,Q23,writing_sci_paper,pre,5
S9,Q24,reading_sci_paper,pre,3
S10,Q19,linux,pre,4
S10,Q20,Rprogramming,pre,3
S10,Q21,expertise,pre,2
S10,Q22,collaborating,pre,4
S10,Q23,writing_sci_paper,pre,4
S10,Q24,reading_sci_paper,pre,3
S11,Q19,linux,pre,3
S11,Q20,Rprogramming,pre,3
S11,Q21,expertise,pre,2
S11,Q22,collaborating,pre,4
S11,Q23,writing_sci_paper,pre,4
S11,Q24,reading_sci_paper,pre,3
S12,Q19,linux,pre,3
S12,Q20,Rprogramming,pre,1
S12,Q21,expertise,pre,1
S12,Q22,collaborating,pre,4
S12,Q23,writing_sci_paper,pre,4
S12,Q24,reading_sci_paper,pre,1
S13,Q19,linux,pre,4
S13,Q20,Rprogramming,pre,3
S13,Q21,expertise,pre,3
S13,Q22,collaborating,pre,5
S13,Q23,writing_sci_paper,pre,5
S13,Q24,reading_sci_paper,pre,4
S1,Q19,linux,post,4
S1,Q20,Rprogramming,post,3
S1,Q21,expertise,post,2
S1,Q22,collaborating,post,3
S1,Q23,writing_sci_paper,post,4
S1,Q24,reading_sci_paper,post,4
S2,Q19,linux,post,3
S2,Q20,Rprogramming,post,4
S2,Q21,expertise,post,1
S2,Q22,collaborating,post,5
S2,Q23,writing_sci_paper,post,5
S2,Q24,reading_sci_paper,post,5
S3,Q19,linux,post,5
S3,Q20,Rprogramming,post,4
S3,Q21,expertise,post,5
S3,Q22,collaborating,post,5
S3,Q23,writing_sci_paper,post,5
S3,Q24,reading_sci_paper,post,5
S4,Q19,linux,post,3
S4,Q20,Rprogramming,post,3
S4,Q21,expertise,post,2
S4,Q22,collaborating,post,4
S4,Q23,writing_sci_paper,post,3
S4,Q24,reading_sci_paper,post,3
S5,Q19,linux,post,4
S5,Q20,Rprogramming,post,3
S5,Q21,expertise,post,3
S5,Q22,collaborating,post,3
S5,Q23,writing_sci_paper,post,4
S5,Q24,reading_sci_paper,post,3
S6,Q19,linux,post,3
S6,Q20,Rprogramming,post,3
S6,Q21,expertise,post,3
S6,Q22,collaborating,post,3
S6,Q23,writing_sci_paper,post,3
S6,Q24,reading_sci_paper,post,3
S7,Q19,linux,post,5
S7,Q20,Rprogramming,post,5
S7,Q21,expertise,post,4
S7,Q22,collaborating,post,5
S7,Q23,writing_sci_paper,post,5
S7,Q24,reading_sci_paper,post,3
S8,Q19,linux,post,3
S8,Q20,Rprogramming,post,2
S8,Q21,expertise,post,3
S8,Q22,collaborating,post,3
S8,Q23,writing_sci_paper,post,3
S8,Q24,reading_sci_paper,post,2
S9,Q19,linux,post,3
S9,Q20,Rprogramming,post,2
S9,Q21,expertise,post,1
S9,Q22,collaborating,post,4
S9,Q23,writing_sci_paper,post,4
S9,Q24,reading_sci_paper,post,3
S10,Q19,linux,post,4
S10,Q20,Rprogramming,post,3
S10,Q21,expertise,post,3
S10,Q22,collaborating,post,3
S10,Q23,writing_sci_paper,post,2
S10,Q24,reading_sci_paper,post,2
S11,Q19,linux,post,3
S11,Q20,Rprogramming,post,3
S11,Q21,expertise,post,2
S11,Q22,collaborating,post,3
S11,Q23,writing_sci_paper,post,4
S11,Q24,reading_sci_paper,post,3
S12,Q19,linux,post,3
S12,Q20,Rprogramming,post,2
S12,Q21,expertise,post,1
S12,Q22,collaborating,post,4
S12,Q23,writing_sci_paper,post,4
S12,Q24,reading_sci_paper,post,2
S13,Q19,linux,post,5
S13,Q20,Rprogramming,post,4
S13,Q21,expertise,post,3
S13,Q22,collaborating,post,5
S13,Q23,writing_sci_paper,post,5
S13,Q24,reading_sci_paper,post,3