Question,Topic,Student,Type,Score
Q1,Biology,S1,prescore,0.5
Q2,Biology,S1,prescore,0
Q3,Biology,S1,prescore,1
Q4,Biology,S1,prescore,1
Q5,Biology,S1,prescore,1
Q6,Biology,S1,prescore,1
Q7,Biology,S1,prescore,1
Q8,Coding,S1,prescore,0.666666667
Q9,Coding,S1,prescore,1
Q10,Coding,S1,prescore,1
Q11,Coding,S1,prescore,0.333333333
Q12,Coding,S1,prescore,0.75
Q13,Coding,S1,prescore,0
Q14,Coding,S1,prescore,1
Q15,ProfDev,S1,prescore,1
Q16,ProfDev,S1,prescore,1
Q17,ProfDev,S1,prescore,1
Q18,ProfDev,S1,prescore,0.75
Q1,Biology,S2,prescore,1
Q2,Biology,S2,prescore,0
Q3,Biology,S2,prescore,0.4
Q4,Biology,S2,prescore,0.333333333
Q5,Biology,S2,prescore,0.5
Q6,Biology,S2,prescore,0.666666667
Q7,Biology,S2,prescore,1
Q8,Coding,S2,prescore,1
Q9,Coding,S2,prescore,0.5
Q10,Coding,S2,prescore,0
Q11,Coding,S2,prescore,0.666666667
Q12,Coding,S2,prescore,0.5
Q13,Coding,S2,prescore,1
Q14,Coding,S2,prescore,1
Q15,ProfDev,S2,prescore,0
Q16,ProfDev,S2,prescore,1
Q17,ProfDev,S2,prescore,1
Q18,ProfDev,S2,prescore,1
Q1,Biology,S3,prescore,0.25
Q2,Biology,S3,prescore,0
Q3,Biology,S3,prescore,0.6
Q4,Biology,S3,prescore,0
Q5,Biology,S3,prescore,0.166666667
Q6,Biology,S3,prescore,0.666666667
Q7,Biology,S3,prescore,1
Q8,Coding,S3,prescore,0.333333333
Q9,Coding,S3,prescore,1
Q10,Coding,S3,prescore,0
Q11,Coding,S3,prescore,0.666666667
Q12,Coding,S3,prescore,0.5
Q13,Coding,S3,prescore,1
Q14,Coding,S3,prescore,1
Q15,ProfDev,S3,prescore,1
Q16,ProfDev,S3,prescore,1
Q17,ProfDev,S3,prescore,1
Q18,ProfDev,S3,prescore,0.75
Q1,Biology,S4,prescore,1
Q2,Biology,S4,prescore,1
Q3,Biology,S4,prescore,0.8
Q4,Biology,S4,prescore,1
Q5,Biology,S4,prescore,0.166666667
Q6,Biology,S4,prescore,1
Q7,Biology,S4,prescore,1
Q8,Coding,S4,prescore,1
Q9,Coding,S4,prescore,0.5
Q10,Coding,S4,prescore,1
Q11,Coding,S4,prescore,1
Q12,Coding,S4,prescore,0
Q13,Coding,S4,prescore,1
Q14,Coding,S4,prescore,0
Q15,ProfDev,S4,prescore,0.4
Q16,ProfDev,S4,prescore,1
Q17,ProfDev,S4,prescore,0.666666667
Q18,ProfDev,S4,prescore,1
Q1,Biology,S5,prescore,0.75
Q2,Biology,S5,prescore,1
Q3,Biology,S5,prescore,0.6
Q4,Biology,S5,prescore,0.333333333
Q5,Biology,S5,prescore,0.5
Q6,Biology,S5,prescore,0.666666667
Q7,Biology,S5,prescore,1
Q8,Coding,S5,prescore,1
Q9,Coding,S5,prescore,0.5
Q10,Coding,S5,prescore,0
Q11,Coding,S5,prescore,0.666666667
Q12,Coding,S5,prescore,0.5
Q13,Coding,S5,prescore,1
Q14,Coding,S5,prescore,1
Q15,ProfDev,S5,prescore,0.4
Q16,ProfDev,S5,prescore,1
Q17,ProfDev,S5,prescore,0.833333333
Q18,ProfDev,S5,prescore,0.75
Q1,Biology,S6,prescore,0.25
Q2,Biology,S6,prescore,0
Q3,Biology,S6,prescore,0.4
Q4,Biology,S6,prescore,0.666666667
Q5,Biology,S6,prescore,1
Q6,Biology,S6,prescore,0.333333333
Q7,Biology,S6,prescore,1
Q8,Coding,S6,prescore,0.666666667
Q9,Coding,S6,prescore,0.5
Q10,Coding,S6,prescore,0
Q11,Coding,S6,prescore,0.333333333
Q12,Coding,S6,prescore,0.25
Q13,Coding,S6,prescore,0
Q14,Coding,S6,prescore,0
Q15,ProfDev,S6,prescore,0.4
Q16,ProfDev,S6,prescore,1
Q17,ProfDev,S6,prescore,1
Q18,ProfDev,S6,prescore,0.75
Q1,Biology,S7,prescore,1
Q2,Biology,S7,prescore,0.5
Q3,Biology,S7,prescore,1
Q4,Biology,S7,prescore,1
Q5,Biology,S7,prescore,1
Q6,Biology,S7,prescore,1
Q7,Biology,S7,prescore,1
Q8,Coding,S7,prescore,0.333333333
Q9,Coding,S7,prescore,1
Q10,Coding,S7,prescore,1
Q11,Coding,S7,prescore,1
Q12,Coding,S7,prescore,1
Q13,Coding,S7,prescore,1
Q14,Coding,S7,prescore,1
Q15,ProfDev,S7,prescore,0.6
Q16,ProfDev,S7,prescore,1
Q17,ProfDev,S7,prescore,1
Q18,ProfDev,S7,prescore,0.75
Q1,Biology,S8,prescore,1
Q2,Biology,S8,prescore,1
Q3,Biology,S8,prescore,0.4
Q4,Biology,S8,prescore,0.666666667
Q5,Biology,S8,prescore,1
Q6,Biology,S8,prescore,0.333333333
Q7,Biology,S8,prescore,0
Q8,Coding,S8,prescore,1
Q9,Coding,S8,prescore,1
Q10,Coding,S8,prescore,0
Q11,Coding,S8,prescore,0.666666667
Q12,Coding,S8,prescore,0.75
Q13,Coding,S8,prescore,0
Q14,Coding,S8,prescore,1
Q15,ProfDev,S8,prescore,1
Q16,ProfDev,S8,prescore,1
Q17,ProfDev,S8,prescore,1
Q18,ProfDev,S8,prescore,0.75
Q1,Biology,S9,prescore,1
Q2,Biology,S9,prescore,0.5
Q3,Biology,S9,prescore,0.8
Q4,Biology,S9,prescore,0.333333333
Q5,Biology,S9,prescore,1
Q6,Biology,S9,prescore,0.666666667
Q7,Biology,S9,prescore,0
Q8,Coding,S9,prescore,1
Q9,Coding,S9,prescore,0.5
Q10,Coding,S9,prescore,0
Q11,Coding,S9,prescore,1
Q12,Coding,S9,prescore,0.25
Q13,Coding,S9,prescore,0
Q14,Coding,S9,prescore,1
Q15,ProfDev,S9,prescore,1
Q16,ProfDev,S9,prescore,1
Q17,ProfDev,S9,prescore,1
Q18,ProfDev,S9,prescore,0.5
Q1,Biology,S10,prescore,0.5
Q2,Biology,S10,prescore,0
Q3,Biology,S10,prescore,0.8
Q4,Biology,S10,prescore,0.333333333
Q5,Biology,S10,prescore,0.5
Q6,Biology,S10,prescore,0.333333333
Q7,Biology,S10,prescore,0
Q8,Coding,S10,prescore,0.666666667
Q9,Coding,S10,prescore,1
Q10,Coding,S10,prescore,0
Q11,Coding,S10,prescore,0.666666667
Q12,Coding,S10,prescore,0
Q13,Coding,S10,prescore,1
Q14,Coding,S10,prescore,0
Q15,ProfDev,S10,prescore,0.4
Q16,ProfDev,S10,prescore,0.833333333
Q17,ProfDev,S10,prescore,0.5
Q18,ProfDev,S10,prescore,1
Q1,Biology,S11,prescore,1
Q2,Biology,S11,prescore,1
Q3,Biology,S11,prescore,1
Q4,Biology,S11,prescore,1
Q5,Biology,S11,prescore,0.166666667
Q6,Biology,S11,prescore,1
Q7,Biology,S11,prescore,1
Q8,Coding,S11,prescore,1
Q9,Coding,S11,prescore,1
Q10,Coding,S11,prescore,0
Q11,Coding,S11,prescore,1
Q12,Coding,S11,prescore,0.5
Q13,Coding,S11,prescore,1
Q14,Coding,S11,prescore,0
Q15,ProfDev,S11,prescore,1
Q16,ProfDev,S11,prescore,1
Q17,ProfDev,S11,prescore,1
Q18,ProfDev,S11,prescore,0.75
Q1,Biology,S12,prescore,0.25
Q2,Biology,S12,prescore,0
Q3,Biology,S12,prescore,0.4
Q4,Biology,S12,prescore,0.666666667
Q5,Biology,S12,prescore,0.5
Q6,Biology,S12,prescore,0.666666667
Q7,Biology,S12,prescore,0
Q8,Coding,S12,prescore,0.666666667
Q9,Coding,S12,prescore,0
Q10,Coding,S12,prescore,0
Q11,Coding,S12,prescore,0
Q12,Coding,S12,prescore,0.5
Q13,Coding,S12,prescore,1
Q14,Coding,S12,prescore,0
Q15,ProfDev,S12,prescore,1
Q16,ProfDev,S12,prescore,1
Q17,ProfDev,S12,prescore,1
Q18,ProfDev,S12,prescore,0.75
Q1,Biology,S13,prescore,0.5
Q2,Biology,S13,prescore,0
Q3,Biology,S13,prescore,1
Q4,Biology,S13,prescore,1
Q5,Biology,S13,prescore,1
Q6,Biology,S13,prescore,0.666666667
Q7,Biology,S13,prescore,0
Q8,Coding,S13,prescore,1
Q9,Coding,S13,prescore,1
Q10,Coding,S13,prescore,0
Q11,Coding,S13,prescore,1
Q12,Coding,S13,prescore,0.25
Q13,Coding,S13,prescore,0
Q14,Coding,S13,prescore,1
Q15,ProfDev,S13,prescore,0.2
Q16,ProfDev,S13,prescore,1
Q17,ProfDev,S13,prescore,1
Q18,ProfDev,S13,prescore,1