Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Iteration,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q177_I am 18 years or older and I agree to participate in this study.,Q176_3_Q176 - Date,Q115_1_Please respond to each of the following statements. - Research makes me anxious.,Q115_2_Please respond to each of the following statements. - I feel insecure concerning the analysis of research data.,Q115_3_Please respond to each of the following statements. - Research scares me.,Q115_4_Please respond to each of the following statements. - Research is stressful.,Q115_5_Please respond to each of the following statements. - Research makes me nervous.,Q115_6_Please respond to each of the following statements. - Research is complicated.,Q115_7_Please respond to each of the following statements. - Research is difficult.,Q115_8_Please respond to each of the following statements. - Research is a complex subject.,"Q135_Please indicate how confident you are in your ability to use technical science skills (use of tools, instruments, and/or techniques)",Q137_Please indicate how confident you are in your ability to generate a research question to answer,Q139_Please indicate how confident you are in your ability to figure out what data/observations to collect and how to collect them,Q141_Please indicate how confident you are in your ability to create explanations for the results of the study,Q143_Please indicate how confident you are in your ability to use scientific literature and/or reports to guide research,Q145_Please indicate how confident you are in your ability to develop theories (integrate and coordinate results from multiple studies),Q161_A person who thinks it is valuable to conduct research that builds on the world's scientific knowledge,Q163_A person who feels discovering something new in the sciences is thrilling,Q165_A person who thinks discussing new theories and ideas between scientists is important,Q167_A person who thinks that scientific research can solve many of today's world challenges,"Q149_""I have a strong sense of belonging to the community of scientists""","Q151_""I derive great personal satisfaction from working on a team that is doing important research""","Q153_""I have come to think of myself as a scientist""","Q155_""I feel like I belong in the field of science""","Q157_""The daily work of a scientist is appealing to me""","Q48_To what extent do you intend to pursue a career in science, but not medicine?",Q52_To what extent do you intend to pursue a science-related research career?,Q123_I most closely identify as - Selected Choice,"Q123_3_TEXT_I most closely identify as - a gender not listed, please describe - Text",Q125_I most closely identify as - Selected Choice,"Q125_8_TEXT_I most closely identify as - Other, please describe - Text","Q127_What is your parents' or your guardians' highest completed level of education? If you have more than one parent, and they have different levels of education, choose the higher of the two.",Q129_1_Please write in your parent or guardian's occupation - Parent or guardian 1,Q129_2_Please write in your parent or guardian's occupation - Parent or guardian 2,Q126_What is your current GPA?,Q131_What is your major?,Q133_What year are you in college?,Q135_Have you participated in an undergraduate research experience? (e.g. doing research in a faculty member's lab?),Q131_Please describe the main project that you worked on during your undergraduate research experience.,Q137_Do you plan to do research after you graduate?
10/9/2023 21:20,10/9/2023 21:24,100,233,TRUE,10/9/2023 21:24,2,R_24dUS4pdpgczIXw,,,,,39.1489,-84.4858,anonymous,EN,Yes,10/10/2023,6,5,5,5,5,5,5,"Strongly agree
7",4,4,4,4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,3,4,2,4,4,4,5,a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",self employed,supervisor,3.25,Biology,5th year or more,No,,Unsure
10/9/2023 22:17,10/9/2023 22:21,100,224,TRUE,10/9/2023 22:21,2,R_2WALAxKIvs9vCcW,,,,,33.4374,-111.8008,anonymous,EN,Yes,10/9/2023,3,5,4,3,3,6,6,"Strongly agree
7",4,3,3,4,"absolutely confident
5
",4,Very much like me,Very much like me,Very much like me,Like me,2,"Strongly agree

5",3,3,4,"Definitely will
10
",8,a woman,,White/Caucasian,,High school graduate- high school diploma or the equivalent (e.g. GED),No Job,,3.2,Neuroscience,5th year or more,Yes,Dr. Melissa Wilson's Sex Chromosome Lab working on analyzing ovariectomy vs. sham surgery data in brain regions ,Yes
10/10/2023 1:06,10/10/2023 1:15,100,565,TRUE,10/10/2023 1:15,2,R_3qkinMgIWBD5Zei,,,,,30.0409,-95.5302,anonymous,EN,Yes,10/10/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",3,"Strongly disagree
1",3,"Strongly disagree
1",5,3,4,"absolutely confident
5
",4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly disagree
1",3,"Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,"Hispanic, Latino, or Spanish origin",,Some college,Funeral Director,Real Estate Agent,2.71,Data Science and Biological Science ,5th year or more,Yes,"During the summer of 2023, I had the privilege of embarking on a research expedition to Panama for two weeks under the supervision of Professor Liebig and Professor Deviche. This unique opportunity gave me invaluable hands-on experience conducting field research in a diverse and challenging environment.

While in Panama, I actively participated in immersive field experiences encompassing various activities, including lectures, forest group hikes, and cultural expeditions. I had the chance to engage with the indigenous Embera community, visit the iconic Miraflores locks of the Panama Canal, and explore Panama City's colonial Old Quarter.

The core of my research activities during this expedition focused on an independent project centered around the observation and analysis of fluorescent organisms in Panama's rich biodiversity. Using calibrated UV light sources during nocturnal field observations, I meticulously documented fluorescent phenomena in various organisms, such as lichens, scorpions, and insect eggs. My research aimed to investigate the diversity and abundance of fluorescent lichens across different ecological settings. Additionally, I conducted correlation analyses to explore the relationship between lichen fluorescence and environmental variables, including sunlight exposure and human activity.

The outcomes of this research were captured in a comprehensive paper that elucidated the mechanisms and functions of lichen fluorescence. This experience not only contributed to our understanding of the physiological responses of lichens to environmental stimuli but also shed light on potential applications in environmental monitoring and biomonitoring.
",Yes
10/10/2023 9:31,10/10/2023 9:36,100,265,TRUE,10/10/2023 9:36,2,R_216CgmAeej3J1zA,,,,,32.7203,-117.1552,anonymous,EN,Yes,10/10/2023,3,5,3,6,5,6,6,6,3,2,3,3,4,4,Very much like me,A little like me,Very much like me,Very much like me,4,"Strongly agree

5",3,4,"Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,Asian,,"Bachelor's degree (e.g. BA, BS)",Nymia Martinez,N/A,3.29,"Biological Sciences (Genetics, Cell, and Development)",3rd year,No,,Yes
10/10/2023 10:07,10/10/2023 10:11,100,278,TRUE,10/10/2023 10:11,2,R_3iCDomJq3Pql4ax,,,,,33.6128,-117.6622,anonymous,EN,Yes,10/10/2023,3,5,4,3,3,4,4,6,4,3,4,4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,4,"Strongly agree

5",4,"Strongly agree
5","Strongly agree
5","Definitely will not
1
",8,a man,,White/Caucasian,,"Master's degree (e.g. MA, MS)",Realtor,Paralegal,3.4,"Biochemistry, Neuroscience",4th year,Yes,Previously helped Dr. Matthias Heyden generate models of the Barnase-Barstar protein complex using command line programming. Will soon assist Dr. Jeff Yarger in investigating possible medication dispersion methods using spider silk polymers.,Yes
10/10/2023 11:12,10/10/2023 11:20,100,453,TRUE,10/10/2023 11:20,2,R_1mxxbdjmtmMJXt4,,,,,37.353,-121.9543,anonymous,EN,Yes,10/10/2023,5,4,5,5,5,5,5,5,3,2,2,3,3,3,Like me,Like me,Like me,Like me,3,4,3,4,4,9,5,a man,,"Hispanic, Latino, or Spanish origin",,Some college,Librarian,Aircraft Mechanic,4,Biology,5th year or more,Yes,"Determining species present for root microbiome of rice plants. I mainly performed collection of samples from greenhouse, operated sonicator on samples, and PCR. ",Unsure
10/10/2023 13:35,10/10/2023 13:39,100,181,TRUE,10/10/2023 13:39,2,R_3OjlLkHNcyDE3Rv,,,,,34.2278,-118.442,anonymous,EN,Yes,10/10/2023,3,4,2,5,2,5,5,6,3,4,4,4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,2,4,3,3,"Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",Self Employed,Disabled/Retired,4,Biological Sciences & Anthropology,4th year,Yes,,Yes
10/10/2023 17:38,10/10/2023 17:43,100,304,TRUE,10/10/2023 17:43,2,R_uyMnMMLit2Ynb5n,,,,,33.7485,-84.3871,anonymous,EN,Yes,10/10/2023,2,2,2,6,2,4,4,4,4,3,4,4,2,4,Very much like me,Very much like me,Very much like me,Somewhat like me,4,"Strongly agree

5",4,4,4,"Definitely will
10
",9,a man,,Asian,,High school graduate- high school diploma or the equivalent (e.g. GED),Office Administrator,Quality Controller,4,Data Science,3rd year,No,,Yes
10/11/2023 10:15,10/11/2023 10:19,100,225,TRUE,10/11/2023 10:19,2,R_e8z0AwN3FYBpDJT,,,,,34.1452,-118.4581,anonymous,EN,Yes,10/11/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",6,5,"Strongly agree
7","absolutely confident
5
","absolutely confident
5
",4,4,"absolutely confident
5
",4,Very much like me,Very much like me,Very much like me,Very much like me,4,"Strongly agree

5",4,"Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",Sales,none,4.12,Biochemistry,3rd year,Yes,Ethics in AI,Yes
10/11/2023 11:19,10/11/2023 11:29,100,565,TRUE,10/11/2023 11:29,2,R_2z8gYh3ZbJ2LvJy,,,,,28.1355,-82.4605,anonymous,EN,Yes,10/11/2024,5,5,5,5,5,5,5,5,3,"not at all confident
1
",3,3,2,2,Like me,Like me,Like me,Like me,2,3,2,"Strongly disagree
1",3,"Definitely will
10
",5,a man,,"Hispanic, Latino, or Spanish origin",,"Bachelor's degree (e.g. BA, BS)",Social Security Representative,Unemployeed,3.5,Biochemistry(Medicinal Chemistry),5th year or more,Yes,The project was through the NSURP program. I had a PI from Emory University and we were working on trying to find more about molecules that go through the MexY efflux pump from Pseudomonas aeruginosa. There was literary analysis of the papers that they were used to develop their question and I made chemical derivatives using MarvinSketch (my favorite part :-) ). Then my PI docked the chemicals through a docking simulation through the Shrondinger software. I didn't make the figures or anything for it because the PI did most of the work. So I basically just did a literary analysis and made chemicals and presented that at the end of the summer.,Unsure
10/11/2023 11:48,10/11/2023 11:55,100,443,TRUE,10/11/2023 11:55,2,R_110FxY68xf5mXaG,,,,,45.4501,-122.868,anonymous,EN,Yes,10/11/2023,"Strongly disagree
1",4,"Strongly disagree
1",4,"Strongly disagree
1","Strongly agree
7",4,"Strongly agree
7",4,4,4,4,"absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Very much like me,3,"Strongly agree

5",3,"Strongly agree
5","Strongly agree
5","Definitely will
10
",8,a woman,,White/Caucasian,,High school graduate- high school diploma or the equivalent (e.g. GED),Bailiff,Stenographer,3.5,Biomedicine,4th year,No,,Unsure
10/11/2023 16:49,10/11/2023 16:54,100,320,TRUE,10/11/2023 16:54,2,R_240Lv718YRdmOo6,,,,,40.1922,-75.4339,anonymous,EN,Yes,11-Oct-23,3,4,4,4,5,"Strongly agree
7",5,6,3,2,2,3,3,2,Like me,Like me,Very much like me,Like me,2,3,4,3,3,7,7,a woman,,White/Caucasian,,Some college,IT,stay at home mom,3.28,Biological Sciences,5th year or more,No,,Unsure
10/11/2023 17:17,10/11/2023 17:32,100,886,TRUE,10/11/2023 17:32,2,R_2zclQzEyaawZyrV,,,,,32.3152,-81.393,anonymous,EN,Yes,10/11/2023,"Strongly disagree
1",5,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",4,4,6,4,3,3,3,"absolutely confident
5
",2,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,Some college,Operations Manager,Project Manager,3.04,Biological Sciences,5th year or more,Yes,"Queen Honeybee behavior in Dr. Hong Lei's lab through OURS. My specific project was ""Environmental Temperature Fluctuation and its Affect on Bee Oviposition."" We presented at the SOLS Symposium Spring 2023. The project was done through observation of a hive where we were able to notate temperature and count the queen bee's egg laying habits during certain temps, then analyze the data that was collected to determine whether the queen laid less eggs at lower temperatures. She, in fact, did not. ",Yes
10/11/2023 21:06,10/11/2023 21:11,100,320,TRUE,10/11/2023 21:11,2,R_2wvufG4fTbpzseR,,,,,33.4532,-112.0748,anonymous,EN,Yes,10/11/2023,4,4,3,4,3,4,4,4,4,4,3,4,4,3,Very much like me,Very much like me,Very much like me,Very much like me,3,"Strongly agree

5",4,"Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,American Indian or Alaska Native,,High school graduate- high school diploma or the equivalent (e.g. GED),Eligibility Specialist,Aeronautics quality control manager,3.88,Biological Sciences,4th year,No,,Yes
10/11/2023 22:33,10/11/2023 22:38,100,357,TRUE,10/11/2023 22:39,2,R_3HXN0NznPgRTevx,,,,,34.5741,-112.4982,anonymous,EN,Yes,10/11/2023,2,2,"Strongly disagree
1",4,2,6,6,"Strongly agree
7",2,4,4,3,"absolutely confident
5
",4,Very much like me,Like me,Very much like me,Very much like me,4,"Strongly agree

5",4,"Strongly agree
5","Strongly agree
5","Definitely will
10
",9,a man,,White/Caucasian,,"Master's degree (e.g. MA, MS)",Teacher,Librarian,3.02,Conservation Biology and Ecology,3rd year,Yes,"This project is ongoing.  I am currently involved with the SOLUR undergraduate research program under Docter Susan Holechek.  I am conducting some introductory research into the interactions between soil Bacteria and genetically modified Maize crops.  This project is in its early stages, and I will be attending a five day immersion week in Dr. Holechek's lab later this month to gain experience in a laboratory setting.",Yes
10/11/2023 23:30,10/11/2023 23:35,100,310,TRUE,10/11/2023 23:35,2,R_3CCoXCogrOW3cdQ,,,,,41.151,-85.125,anonymous,EN,Yes,10/12/2023,3,4,"Strongly disagree
1",5,5,4,4,"Strongly agree
7",4,3,3,4,"absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Very much like me,4,"Strongly agree

5",3,"Strongly agree
5","Strongly agree
5",5,7,a woman,,White/Caucasian,,Some college,Executive Director/ Marketing Director,Business,3.24,Biochemistry,4th year,No,,Unsure
10/12/2023 9:25,10/12/2023 9:35,100,595,TRUE,10/12/2023 9:35,2,R_2VBY7HoSwc7DX3Q,,,,,42.0514,-93.6908,anonymous,EN,Yes,10/12/2023,5,6,2,4,5,6,6,6,4,2,4,4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,3,4,3,"Strongly agree
5","Strongly agree
5",7,"Definitely will
10
",a woman,,"Other, please describe",Mixed Race,Some college,Mortgage underwriter,Conductor,3.7,Biological Sciences,5th year or more,No,,Yes
10/12/2023 12:43,10/12/2023 12:45,100,150,TRUE,10/12/2023 12:45,2,R_3Dqm3oPZoSDaM4z,,,,,33.2109,-117.2232,anonymous,EN,Yes,10/12/2023,"Strongly agree
7","Strongly agree
7","Strongly agree
7","Strongly agree
7","Strongly agree
7","Strongly agree
7","Strongly agree
7","Strongly agree
7",2,"not at all confident
1
","not at all confident
1
","not at all confident
1
","not at all confident
1
","not at all confident
1
",Not like me at all,Not like me at all,A little like me,Not like me,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",8,7,a woman,,"Hispanic, Latino, or Spanish origin",,"Completed no school or some elementary, middle, or high school",retail,retail,,4,1st year,Yes,,Unsure
10/12/2023 13:13,10/12/2023 13:19,100,345,TRUE,10/12/2023 13:19,2,R_3elxdQdh1oVtWkw,,,,,42.518,-83.1576,anonymous,EN,Yes,10/12/2023,4,3,4,4,4,5,4,5,2,2,2,2,2,2,Very much like me,Very much like me,Very much like me,Very much like me,3,"Strongly agree

5",3,4,"Strongly agree
5",9,9,a woman,,Asian,,"Professional degree (e.g. MD, DDS, DVM, JD)",Physician,Homemaker,4,"Biological Sciences (Genetics, Cell, Developmental)",5th year or more,Yes,Evolutionary morphological changes in Sceloperus (lizards),Yes
10/12/2023 13:28,10/12/2023 13:39,100,650,TRUE,10/12/2023 13:39,2,R_111FW8pyn8aE2jz,,,,,40.7123,-74.0068,anonymous,EN,Yes,10/12/2023,6,2,3,5,5,6,6,6,4,4,4,4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,4,"Strongly agree

5",4,"Strongly agree
5",4,"Definitely will
10
",9,a woman,,White/Caucasian,,Some college,property manager,unemployed,3.91,"biological sciences (genetics, cell, and developmental biology)",4th year,Yes,"I took undergraduate biology education research. I participated in developing research questions, iterative survey development, analysis of data in RStudio, and manuscript writing. I have since continued in Katelyn Cooper's lab as an undergraduate researcher",Yes
10/12/2023 13:55,10/12/2023 14:02,100,415,TRUE,10/12/2023 14:02,2,R_2dBnwtFudMoYdrC,,,,,40.6739,-73.9358,anonymous,EN,Yes,10/12/2023,"Strongly disagree
1",5,"Strongly disagree
1",2,2,4,4,"Strongly agree
7",3,2,2,4,"absolutely confident
5
",3,Like me,Like me,Like me,Not like me,3,4,2,4,4,7,8,a woman,,White/Caucasian,,Some college,Solar Construction Quailty Engineer,,3.2,Biological Data Sceinces,5th year or more,No,,Unsure
10/12/2023 17:03,10/12/2023 17:09,100,343,TRUE,10/12/2023 17:09,2,R_3RjSInN09BbHx8T,,,,,34.0447,-118.2946,anonymous,EN,Yes,10/12/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",4,4,5,"absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
",8,a woman,,White/Caucasian,,Some college,Registered Nurse,Auto Insurance Claims Supervisor,3.5,"Biologic Sciences (cell, development, and genetics)",3rd year,Yes,Investigating the relationship between sex chromosomes and cancer with Dr. Melissa Wilson.,Yes
10/12/2023 17:12,10/12/2023 17:16,100,239,TRUE,10/12/2023 17:16,2,R_3sp5t2pnGm9vyjs,,,,,33.3825,-111.875,anonymous,EN,Yes,10/12/2023,6,4,5,6,6,5,5,4,4,3,2,3,2,3,Like me,Very much like me,Like me,Like me,4,4,4,"Strongly agree
5","Strongly agree
5",8,8,a woman,,"Hispanic, Latino, or Spanish origin",,Some college,Medical Assistant ,Garage Door Installer ,3,Biological Sciences,5th year or more,No,,Unsure
10/12/2023 20:46,10/12/2023 20:51,100,326,TRUE,10/12/2023 20:51,2,R_1msCz37esBBxHqQ,,,,,47.1691,-122.5065,anonymous,EN,Yes,12-Oct-23,5,3,5,"Strongly agree
7",5,"Strongly agree
7",5,"Strongly agree
7",3,"not at all confident
1
",3,4,4,"not at all confident
1
",Like me,Very much like me,Very much like me,Very much like me,3,"Strongly agree

5",2,"Strongly agree
5","Strongly agree
5",8,8,a woman,,White/Caucasian,,"Master's degree (e.g. MA, MS)",Middle School Teacher,Deceased -- Prior was an electrician,3.5,Biological Sciences (Genetics and Cellular Development),5th year or more,No,,Yes
10/13/2023 10:27,10/13/2023 10:32,100,290,TRUE,10/13/2023 10:32,2,R_3eqQ5rIVyTco5zT,,,,,33.5112,-111.9078,anonymous,EN,Yes,10/13/2023,"Strongly disagree
1",2,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",5,5,6,4,3,3,3,4,4,Very much like me,Very much like me,Very much like me,Very much like me,4,3,"Strongly agree
5",4,2,8,6,a man,,White/Caucasian,,"Master's degree (e.g. MA, MS)",hospital director,pilot,3.71,Neuroscience,3rd year,No,,Unsure
10/13/2023 12:41,10/13/2023 12:44,100,219,TRUE,10/13/2023 12:44,2,R_2WBx3Nl6jHteziI,,,,,42.4947,-70.8499,anonymous,EN,Yes,10/13/2023,3,5,2,5,2,5,3,5,4,3,3,3,4,4,Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5",4,"Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,Some college,Deceased,Deceased,2.8,Neuroscience,5th year or more,Yes,OURS program with Dr. Gene Brewer,Yes
10/13/2023 12:53,10/13/2023 13:00,100,419,TRUE,10/13/2023 13:00,2,R_2e3HeBz1ursYe8b,,,,,32.7449,-117.165,anonymous,EN,Yes,10/13/2023,"Strongly agree
7",4,5,5,5,4,5,4,4,4,4,3,3,2,Like me,Very much like me,Very much like me,Very much like me,4,4,4,4,4,"Definitely will
10
","Definitely will
10
",a woman,,"Hispanic, Latino, or Spanish origin",,"Completed no school or some elementary, middle, or high school",Mechanic,Custodian ,4,MS Biology,5th year or more,No,,Yes
10/13/2023 17:49,10/13/2023 17:52,100,171,TRUE,10/13/2023 17:52,2,R_2pSS2fXpKR1Wmmc,,,,,36.8919,-76.2325,anonymous,EN,Yes,10/13/2023,"Strongly disagree
1",4,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",2,2,4,4,4,3,4,4,4,Very much like me,Very much like me,Very much like me,Very much like me,3,"Strongly agree

5",3,"Strongly agree
5",4,3,3,a woman,,White/Caucasian,,"Master's degree (e.g. MA, MS)",Navy,N/A,3.01,Biological Sciences ,3rd year,No,,Yes
10/14/2023 7:41,10/14/2023 7:45,100,240,TRUE,10/14/2023 7:45,2,R_eRoQtV3sfu8Y87f,,,,,25.2925,51.5321,anonymous,EN,Yes,10/14/2023,2,2,2,3,3,3,3,3,3,2,2,2,3,3,Very much like me,Very much like me,Very much like me,Very much like me,2,"Strongly agree

5",3,"Strongly agree
5",4,"Definitely will
10
","Definitely will
10
",a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",,,,"Biological Sciences (Genetics, Cell and Developmental Biology)",4th year,No,,Yes
10/14/2023 8:04,10/14/2023 8:11,100,416,TRUE,10/14/2023 8:11,2,R_vGOSALPiEjfDEqZ,,,,,41.6172,-87.8419,anonymous,EN,Yes,10/14/2023,"Strongly agree
7","Strongly agree
7",6,"Strongly agree
7",6,6,6,"Strongly agree
7",4,3,2,3,3,2,Somewhat like me,Like me,Somewhat like me,Like me,3,4,2,4,4,6,9,a woman,,White/Caucasian,,"Completed no school or some elementary, middle, or high school",Contractor,Janitor,2.73,BS Biological Sciences,4th year,No,,Unsure
10/14/2023 9:30,10/14/2023 9:35,100,297,TRUE,10/14/2023 9:35,2,R_UtfZvt0cYYIw9tn,,,,,44.9985,-93.3029,anonymous,EN,Yes,10/14/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",5,"Strongly disagree
1",4,4,6,4,4,4,"absolutely confident
5
","absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Like me,"Strongly agree
5","Strongly agree

5",4,"Strongly agree
5","Strongly agree
5",7,"Definitely will
10
",a man,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",case manager at a children's hospital,entrepreneur ,Since being at ASU 3.18,Biology (genetics/cell development),4th year,No,,Yes
10/14/2023 11:15,10/14/2023 11:18,100,177,TRUE,10/14/2023 11:18,2,R_1lmeqQRjjVTfojK,,,,,42.4786,-92.3682,anonymous,EN,Yes,10/14/2023,2,2,2,4,2,6,6,6,3,4,"absolutely confident
5
",4,3,4,Very much like me,Very much like me,Very much like me,Somewhat like me,3,2,3,4,4,"Definitely will
10
","Definitely will
10
",a man,,White/Caucasian,,Doctoral degree (e.g. PhD),Maintenance Worker,Special Needs Educator,2.4,Genetics / Cell Biology,5th year or more,No,,Yes
10/14/2023 14:39,10/14/2023 14:46,100,395,TRUE,10/14/2023 14:46,2,R_AjP7xK9BwWYTjwJ,,,,,46.8524,-96.8121,anonymous,EN,Yes,10/14/2023,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",4,2,2,2,3,"absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
","absolutely confident
5
",Very much like me,Very much like me,Very much like me,Very much like me,"Strongly agree
5","Strongly agree

5","Strongly agree
5","Strongly agree
5","Strongly agree
5","Definitely will
10
","Definitely will
10
",a woman,,Black or African American,,"Bachelor's degree (e.g. BA, BS)",Hospitality,Professor,2.7,Biomedical Science,4th year,No,,Yes
10/14/2023 17:48,10/14/2023 17:55,100,381,TRUE,10/14/2023 17:55,2,R_1FzCF5OLWNi6aJU,,,,,47.6987,-117.4397,anonymous,EN,Yes,10/14/2023,2,2,2,3,5,4,4,5,3,3,3,4,3,3,Like me,Very much like me,Like me,Very much like me,3,4,3,4,"Strongly agree
5","Definitely will
10
","Definitely will
10
",a man,,Asian,,"Bachelor's degree (e.g. BA, BS)",Math teacher,College Professor,4,"Biological Sciences (Genetics, Cell and Developmental Biology)",2nd year,Yes,"My first undergraduate degree is B.S. Computer Engineering and we were required to do a thesis. My team's final product is a machine that displays holographic illusion that can be used in teaching preschool students shapes, animals, children stories, alphabets and numbers. ",Yes
10/14/2023 18:58,10/14/2023 19:02,100,264,TRUE,10/14/2023 19:02,2,R_ZDIRxCqGSPOd0DT,,,,,33.2421,-111.6412,anonymous,EN,Yes,10/14/2023,2,2,"Strongly disagree
1",3,2,4,2,4,4,4,4,4,4,3,Very much like me,Very much like me,Very much like me,Very much like me,4,4,4,"Strongly agree
5",4,7,7,a woman,,White/Caucasian,,"Bachelor's degree (e.g. BA, BS)",Executive Director and Neuroscience Rare Disease Pillar Head at a Clinical Research Organization,N/A,3.86,Biomedical Sciences,4th year,No,,Yes
10/14/2023 19:12,10/14/2023 19:22,100,631,TRUE,10/14/2023 19:22,2,R_3FL26hSUWND1so6,,,,,38.894,-77.0365,anonymous,EN,Yes,10/14/2023,5,6,5,"Strongly agree
7",6,6,6,5,3,4,3,2,"absolutely confident
5
",4,Like me,Very much like me,Very much like me,Very much like me,4,"Strongly agree

5",3,2,3,7,9,non-binary,,White/Caucasian,,Doctoral degree (e.g. PhD),Project Management Professor,Aviation Consultant,4.03,Neuroscience and Biochemistry,1st year,Yes,I am currently working in Dr. Martin's lab tracking the morphology of lizards by marking the CT scans of the lizard skeletons in Slicer.,Yes
10/14/2023 22:43,10/14/2023 22:48,100,299,TRUE,10/14/2023 22:48,2,R_w1qmhUsnzDMiP3H,,,,,33.4475,-112.0866,anonymous,EN,Yes,10/14/2023,2,2,2,4,2,4,4,6,4,4,4,4,3,3,Very much like me,Like me,Like me,Very much like me,4,"Strongly agree

5",3,4,4,"Definitely will
10
",9,a man,,White/Caucasian,,Some college,Network Administrator,Antiques Dealer,3.43,"Bio Sci (Genetics, Cell, Dev Bio) & Data Science",4th year,No,,Yes
