Student,Question,prescore,postscore,delta,Trend
Student11,CodingQuestion,-2,-1,1,More comfortable
Student7,CodingQuestion,1,1,0,No change
Student14,CodingQuestion,2,2,0,No change
Student30,CodingQuestion,3,1,-2,Less Comfortable
Student43,CodingQuestion,3,2.5,-0.5,Less Comfortable
Student27,CodingQuestion,2,2,0,No change
Student31,CodingQuestion,-2.5,-2.5,0,No change
Student36,CodingQuestion,3,3,0,No change
Student15,CodingQuestion,-1,1,2,More comfortable
Student26,CodingQuestion,3,3,0,No change
Student38,CodingQuestion,2,1,-1,Less Comfortable
Student10,CodingQuestion,2,3,1,More comfortable
Student6,CodingQuestion,2,2,0,No change
Student29,CodingQuestion,3,3,0,No change
Student45,CodingQuestion,1,2,1,More comfortable
Student22,CodingQuestion,3,2,-1,Less Comfortable
Student44,CodingQuestion,2,0,-2,Less Comfortable
Student12,CodingQuestion,3,3,0,No change
Student32,CodingQuestion,2,3,1,More comfortable
Student40,CodingQuestion,0,2,2,More comfortable
Student17,CodingQuestion,2,2,0,No change
Student2,CodingQuestion,2,2.5,0.5,More comfortable
Student19,CodingQuestion,2,3,1,More comfortable
Student34,CodingQuestion,3,3,0,No change
Student42,CodingQuestion,2,2,0,No change
Student4,CodingQuestion,-1,1,2,More comfortable
Student21,CodingQuestion,1,3,2,More comfortable
Student1,CodingQuestion,1,-1,-2,Less Comfortable
Student28,CodingQuestion,-1,0,1,More comfortable
Student20,CodingQuestion,3,-2.5,-5.5,Less Comfortable
Student39,CodingQuestion,-1,-1,0,No change
Student41,CodingQuestion,2,2,0,No change
Student8,CodingQuestion,2,3,1,More comfortable
Student37,CodingQuestion,2,2,0,No change
Student13,CodingQuestion,2,2.5,0.5,More comfortable
Student18,CodingQuestion,3,3,0,No change
Student9,CodingQuestion,3,2,-1,Less Comfortable
Student33,CodingQuestion,1,-2,-3,Less Comfortable
Student3,CodingQuestion,3,-1,-4,Less Comfortable
Student24,CodingQuestion,2,1.5,-0.5,Less Comfortable
Student5,CodingQuestion,-3,-3,0,No change
Student23,CodingQuestion,2,2,0,No change
Student16,CodingQuestion,2,2,0,No change
Student35,CodingQuestion,3,3,0,No change
Student25,CodingQuestion,3,2,-1,Less Comfortable
Student11,CommandLine_Linux,-3,-2,1,More comfortable
Student7,CommandLine_Linux,1,2,1,More comfortable
Student14,CommandLine_Linux,2,2,0,No change
Student30,CommandLine_Linux,3,3,0,No change
Student43,CommandLine_Linux,3,2,-1,Less Comfortable
Student27,CommandLine_Linux,2,2,0,No change
Student31,CommandLine_Linux,-1,1.5,2.5,More comfortable
Student36,CommandLine_Linux,1.5,3,1.5,More comfortable
Student15,CommandLine_Linux,2,1,-1,Less Comfortable
Student26,CommandLine_Linux,1,2,1,More comfortable
Student38,CommandLine_Linux,1.5,2,0.5,More comfortable
Student10,CommandLine_Linux,1,1,0,No change
Student6,CommandLine_Linux,2,2,0,No change
Student29,CommandLine_Linux,1.5,2,0.5,More comfortable
Student45,CommandLine_Linux,2,2,0,No change
Student22,CommandLine_Linux,1,2,1,More comfortable
Student44,CommandLine_Linux,2,2,0,No change
Student12,CommandLine_Linux,2,3,1,More comfortable
Student32,CommandLine_Linux,1,1.5,0.5,More comfortable
Student40,CommandLine_Linux,2,2,0,No change
Student17,CommandLine_Linux,1.5,0,-1.5,Less Comfortable
Student2,CommandLine_Linux,1,1.5,0.5,More comfortable
Student19,CommandLine_Linux,1,-1,-2,Less Comfortable
Student34,CommandLine_Linux,1,1.5,0.5,More comfortable
Student42,CommandLine_Linux,1,1,0,No change
Student4,CommandLine_Linux,1,2,1,More comfortable
Student21,CommandLine_Linux,-1,-2,-1,Less Comfortable
Student1,CommandLine_Linux,2,1,-1,Less Comfortable
Student28,CommandLine_Linux,1,1.5,0.5,More comfortable
Student20,CommandLine_Linux,3,-2.5,-5.5,Less Comfortable
Student39,CommandLine_Linux,-1,2,3,More comfortable
Student41,CommandLine_Linux,0,-1,-1,Less Comfortable
Student8,CommandLine_Linux,2,-2,-4,Less Comfortable
Student37,CommandLine_Linux,1,1,0,No change
Student13,CommandLine_Linux,1,0,-1,Less Comfortable
Student18,CommandLine_Linux,3,2,-1,Less Comfortable
Student9,CommandLine_Linux,2,3,1,More comfortable
Student33,CommandLine_Linux,0,-2,-2,Less Comfortable
Student3,CommandLine_Linux,2,1,-1,Less Comfortable
Student24,CommandLine_Linux,2,1,-1,Less Comfortable
Student5,CommandLine_Linux,-3,-1,2,More comfortable
Student23,CommandLine_Linux,2,1,-1,Less Comfortable
Student16,CommandLine_Linux,1,-1,-2,Less Comfortable
Student35,CommandLine_Linux,2,2,0,No change
Student25,CommandLine_Linux,1.5,2,0.5,More comfortable
Student11,ProgrammingR,-3,-2,1,More comfortable
Student7,ProgrammingR,-1,2,3,More comfortable
Student14,ProgrammingR,-2,1,3,More comfortable
Student30,ProgrammingR,1,3,2,More comfortable
Student43,ProgrammingR,2,2.5,0.5,More comfortable
Student27,ProgrammingR,-2,-2,0,No change
Student31,ProgrammingR,-3,-2,1,More comfortable
Student36,ProgrammingR,3,3,0,No change
Student15,ProgrammingR,-1,1,2,More comfortable
Student26,ProgrammingR,-2,2,4,More comfortable
Student38,ProgrammingR,-1.5,-3,-1.5,Less Comfortable
Student10,ProgrammingR,-2,1,3,More comfortable
Student6,ProgrammingR,-2,1,3,More comfortable
Student29,ProgrammingR,2,3,1,More comfortable
Student45,ProgrammingR,1,1,0,No change
Student22,ProgrammingR,2,2,0,No change
Student44,ProgrammingR,1,1,0,No change
Student12,ProgrammingR,-1,1,2,More comfortable
Student32,ProgrammingR,-1.5,1,2.5,More comfortable
Student40,ProgrammingR,-2,2,4,More comfortable
Student17,ProgrammingR,2.5,2,-0.5,Less Comfortable
Student2,ProgrammingR,1.5,0,-1.5,Less Comfortable
Student19,ProgrammingR,-3,-1,2,More comfortable
Student34,ProgrammingR,-2,1.5,3.5,More comfortable
Student42,ProgrammingR,-3,1,4,More comfortable
Student4,ProgrammingR,2,2,0,No change
Student21,ProgrammingR,0,-2,-2,Less Comfortable
Student1,ProgrammingR,1,-1,-2,Less Comfortable
Student28,ProgrammingR,1,0.66,-0.34,Less Comfortable
Student20,ProgrammingR,2.5,-2.5,-5,Less Comfortable
Student39,ProgrammingR,1,1,0,No change
Student41,ProgrammingR,-2.5,-1,1.5,More comfortable
Student8,ProgrammingR,-3,-2,1,More comfortable
Student37,ProgrammingR,1,1,0,No change
Student13,ProgrammingR,-1,1,2,More comfortable
Student18,ProgrammingR,-3,1,4,More comfortable
Student9,ProgrammingR,-3,-2,1,More comfortable
Student33,ProgrammingR,-2,-2,0,No change
Student3,ProgrammingR,-2,1,3,More comfortable
Student24,ProgrammingR,1,-2,-3,Less Comfortable
Student5,ProgrammingR,-3,-3,0,No change
Student23,ProgrammingR,-1,-1,0,No change
Student16,ProgrammingR,-3,-2,1,More comfortable
Student35,ProgrammingR,2,2,0,No change
Student25,ProgrammingR,1,1,0,No change
Student11,ReadingPaper,2,1.5,-0.5,Less Comfortable
Student7,ReadingPaper,-2,1.5,3.5,More comfortable
Student14,ReadingPaper,-1,1,2,More comfortable
Student30,ReadingPaper,2,3,1,More comfortable
Student43,ReadingPaper,3,0.66,-2.34,Less Comfortable
Student27,ReadingPaper,3,3,0,No change
Student31,ReadingPaper,-2,1,3,More comfortable
Student36,ReadingPaper,2,2.5,0.5,More comfortable
Student15,ReadingPaper,2,3,1,More comfortable
Student26,ReadingPaper,2,1,-1,Less Comfortable
Student38,ReadingPaper,2,2,0,No change
Student10,ReadingPaper,3,3,0,No change
Student6,ReadingPaper,0,2,2,More comfortable
Student29,ReadingPaper,3,3,0,No change
Student45,ReadingPaper,1,2,1,More comfortable
Student22,ReadingPaper,1.5,2,0.5,More comfortable
Student44,ReadingPaper,2,2,0,No change
Student12,ReadingPaper,2,3,1,More comfortable
Student32,ReadingPaper,2,2.5,0.5,More comfortable
Student40,ReadingPaper,2,2.5,0.5,More comfortable
Student17,ReadingPaper,2,2,0,No change
Student2,ReadingPaper,1.5,2,0.5,More comfortable
Student19,ReadingPaper,2,2,0,No change
Student34,ReadingPaper,-1,-1,0,No change
Student42,ReadingPaper,2,2,0,No change
Student4,ReadingPaper,2,2,0,No change
Student21,ReadingPaper,0,1,1,More comfortable
Student1,ReadingPaper,1,2,1,More comfortable
Student28,ReadingPaper,-1,0,1,More comfortable
Student20,ReadingPaper,2,2.5,0.5,More comfortable
Student39,ReadingPaper,1,2,1,More comfortable
Student41,ReadingPaper,1.5,1,-0.5,Less Comfortable
Student8,ReadingPaper,-1,1,2,More comfortable
Student37,ReadingPaper,2,1.5,-0.5,Less Comfortable
Student13,ReadingPaper,2,-3,-5,Less Comfortable
Student18,ReadingPaper,2,2,0,No change
Student9,ReadingPaper,1,1,0,No change
Student33,ReadingPaper,1,1,0,No change
Student3,ReadingPaper,1.5,3,1.5,More comfortable
Student24,ReadingPaper,2,2.5,0.5,More comfortable
Student5,ReadingPaper,-3,-3,0,No change
Student23,ReadingPaper,1,2,1,More comfortable
Student16,ReadingPaper,2,1,-1,Less Comfortable
Student35,ReadingPaper,2,2,0,No change
Student25,ReadingPaper,-2,0,2,More comfortable
Student11,WritingPaper,2,2,0,No change
Student7,WritingPaper,-1,1,2,More comfortable
Student14,WritingPaper,-2,1,3,More comfortable
Student30,WritingPaper,2,3,1,More comfortable
Student43,WritingPaper,3,2,-1,Less Comfortable
Student27,WritingPaper,2,2,0,No change
Student31,WritingPaper,2,1,-1,Less Comfortable
Student36,WritingPaper,2,2,0,No change
Student15,WritingPaper,-1,2,3,More comfortable
Student26,WritingPaper,1,0,-1,Less Comfortable
Student38,WritingPaper,1.5,2,0.5,More comfortable
Student10,WritingPaper,2,3,1,More comfortable
Student6,WritingPaper,1.5,1,-0.5,Less Comfortable
Student29,WritingPaper,2,2,0,No change
Student45,WritingPaper,-1,1,2,More comfortable
Student22,WritingPaper,1,0,-1,Less Comfortable
Student44,WritingPaper,2,-1,-3,Less Comfortable
Student12,WritingPaper,2,3,1,More comfortable
Student32,WritingPaper,1.5,2.5,1,More comfortable
Student40,WritingPaper,2,2,0,No change
Student17,WritingPaper,1,1,0,No change
Student2,WritingPaper,0,-1,-1,Less Comfortable
Student19,WritingPaper,-2,1,3,More comfortable
Student34,WritingPaper,-2.5,-1.5,1,More comfortable
Student42,WritingPaper,-1,-1,0,No change
Student4,WritingPaper,1,1,0,No change
Student21,WritingPaper,0,-1,-1,Less Comfortable
Student1,WritingPaper,1,1,0,No change
Student28,WritingPaper,-1,0,1,More comfortable
Student20,WritingPaper,2,2.5,0.5,More comfortable
Student39,WritingPaper,-2,-2,0,No change
Student41,WritingPaper,-1.5,-1,0.5,More comfortable
Student8,WritingPaper,1,1,0,No change
Student37,WritingPaper,2,1,-1,Less Comfortable
Student13,WritingPaper,2,2,0,No change
Student18,WritingPaper,-1,2,3,More comfortable
Student9,WritingPaper,1,1,0,No change
Student33,WritingPaper,0.66,-2,-2.66,Less Comfortable
Student3,WritingPaper,0,2,2,More comfortable
Student24,WritingPaper,-1.5,1,2.5,More comfortable
Student5,WritingPaper,-3,-2,1,More comfortable
Student23,WritingPaper,1,1,0,No change
Student16,WritingPaper,1,1,0,No change
Student35,WritingPaper,1,2,1,More comfortable
Student25,WritingPaper,-1,-2,-1,Less Comfortable
